announce_date,No.
2021-04-01,25
2021-04-02,52
2021-04-03,74
2021-04-04,89
2021-04-05,184
2021-04-06,247
2021-04-07,329
2021-04-08,395
2021-04-09,548
2021-04-10,783
2021-04-11,965
2021-04-12,981
2021-04-13,960
2021-04-14,1330
2021-04-15,1544
2021-04-16,1575
2021-04-17,1547
2021-04-18,1765
2021-04-19,1388
2021-04-20,1441
2021-04-21,1456
2021-04-22,1469
2021-04-23,2062
2021-04-24,2828
2021-04-25,2434
2021-04-26,2040
2021-04-27,2176
2021-04-28,2006
2021-04-29,1866
2021-04-30,1579
2021-05-01,1887
2021-05-02,1935
2021-05-03,2040
2021-05-04,1753
2021-05-05,2107
2021-05-06,1903
2021-05-07,2043
2021-05-08,2415
2021-05-09,2093
2021-05-10,1624
2021-05-11,1913
2021-05-12,1976
2021-05-13,2049
2021-05-14,2072
2021-05-15,2214
2021-05-16,2289
2021-05-17,2777
2021-05-18,1785
2021-05-19,1879
2021-05-20,1908
2021-05-21,2518
2021-05-22,2439
2021-05-23,2921
2021-05-24,2499
2021-05-25,2341
2021-05-26,1966
2021-05-27,2103
2021-05-28,2455
2021-05-29,2092
2021-05-30,2613
2021-05-31,3509
2021-06-01,2147
2021-06-02,2343
2021-06-03,2640
2021-06-04,2430
2021-06-05,2463
2021-06-06,2051
2021-06-07,2311
2021-06-08,2122
2021-06-09,2392
2021-06-10,2201
2021-06-11,1992
2021-06-12,2379
2021-06-13,2387
2021-06-14,2570
2021-06-15,2357
2021-06-16,2303
2021-06-17,2671
2021-06-18,2588
2021-06-19,3215
2021-06-20,3097
2021-06-21,3016
2021-06-22,3978
2021-06-23,3134
2021-06-24,3872
2021-06-25,3480
2021-06-26,4087
2021-06-27,3947
2021-06-28,5395
2021-06-29,4650
2021-06-30,4657
2021-07-01,5487
2021-07-02,5877
2021-07-03,5934
2021-07-04,5875
2021-07-05,6081
2021-07-06,5378
2021-07-07,6458
2021-07-08,6987
2021-07-09,8993
2021-07-10,9118
2021-07-11,9433
2021-07-12,8575
2021-07-13,8534
2021-07-14,9182
2021-07-15,9098
2021-07-16,9074
2021-07-17,9952
2021-07-18,11078
2021-07-19,11684
2021-07-20,10700
2021-07-21,11932
2021-07-22,13106
2021-07-23,13495
2021-07-24,13598
2021-07-25,14682
2021-07-26,14334
2021-07-27,13878
2021-07-28,16325
2021-07-29,17398
2021-07-30,16664
2021-07-31,18095
2021-08-01,17653
2021-08-02,17790
2021-08-03,18155
2021-08-04,20003
2021-08-05,20658
2021-08-06,20894
2021-08-07,20915
2021-08-08,19633
2021-08-09,19284
2021-08-10,19439
2021-08-11,20846
2021-08-12,22404
2021-08-13,23028
2021-08-14,21815
2021-08-15,21633
2021-08-16,20499
2021-08-17,19852
2021-08-18,20261
2021-08-19,20749
2021-08-20,19523
2021-08-21,20330
2021-08-22,18812
2021-08-23,17089
2021-08-24,16971
2021-08-25,18269
2021-08-26,18360
