Uid_i,Uid_j,Sid_i,Sid_j,%similarity
U_1,U_70,1416796,1416797,98.15
U_1,U_70,1416798,1416799,96.03
U_86,U_96,1416529,1416758,40.03
U_86,U_97,1416529,1416757,40.03
U_86,U_98,1416529,1416671,42.24
U_86,U_99,1416529,1416755,40.03
U_86,U_101,1416529,1416724,40.03
U_86,U_104,1416529,1416696,42.52
U_86,U_105,1416529,1416612,100.0
U_86,U_106,1416529,1416626,100.0
U_86,U_107,1416529,1416787,100.0
U_86,U_108,1416529,1416566,100.0
U_86,U_26,1416529,1416774,23.0
U_86,U_2,1416529,1416654,15.99
U_86,U_3,1416529,1416602,45.16
U_86,U_5,1416529,1416710,42.47
U_86,U_7,1416529,1416738,43.71
U_86,U_8,1416529,1416564,37.04
U_86,U_11,1416529,1416539,41.82
U_86,U_12,1416529,1416796,22.49
U_86,U_43,1416529,1416598,35.85
U_86,U_90,1416529,1416776,42.47
U_86,U_91,1416529,1416544,100.0
U_86,U_93,1416529,1416545,42.24
U_86,U_46,1416529,1416575,100.0
U_86,U_47,1416529,1416676,100.0
U_86,U_51,1416529,1416697,41.9
U_86,U_54,1416529,1416559,100.0
U_86,U_55,1416529,1416557,37.8
U_86,U_58,1416529,1416699,100.0
U_86,U_60,1416529,1416553,100.0
U_86,U_64,1416529,1416744,44.05
U_86,U_66,1416529,1416767,32.23
U_86,U_68,1416529,1416570,37.41
U_86,U_69,1416529,1416574,33.99
U_86,U_111,1416529,1416684,31.12
U_86,U_88,1416529,1416683,41.33
U_86,U_89,1416529,1416556,100.0
U_86,U_71,1416529,1416795,100.0
U_86,U_13,1416529,1416629,38.77
U_86,U_16,1416529,1416546,100.0
U_86,U_18,1416529,1416722,34.35
U_86,U_20,1416529,1416600,40.6
U_86,U_21,1416529,1416761,32.13
U_86,U_24,1416529,1416709,35.88
U_86,U_27,1416529,1416790,41.6
U_86,U_28,1416529,1416633,43.5
U_86,U_33,1416529,1416534,42.24
U_86,U_36,1416529,1416741,41.82
U_86,U_40,1416529,1416571,28.02
U_86,U_72,1416529,1416773,100.0
U_86,U_74,1416529,1416649,100.0
U_86,U_75,1416529,1416531,100.0
U_86,U_76,1416529,1416644,100.0
U_86,U_77,1416529,1416687,100.0
U_86,U_78,1416529,1416789,34.35
U_86,U_79,1416529,1416675,40.03
U_86,U_80,1416529,1416702,100.0
U_86,U_82,1416529,1416764,40.96
U_86,U_84,1416529,1416565,100.0
U_86,U_85,1416529,1416780,100.0
U_87,U_86,1416430,1416529,27.82
U_87,U_96,1416430,1416758,61.76
U_87,U_97,1416430,1416757,61.76
U_87,U_98,1416430,1416671,65.2
U_87,U_99,1416430,1416755,61.76
U_87,U_100,1416430,1416443,45.61
U_87,U_101,1416430,1416724,61.76
U_87,U_102,1416430,1416526,27.82
U_87,U_103,1416430,1416464,46.77
U_87,U_104,1416430,1416696,59.31
U_87,U_105,1416430,1416612,27.82
U_87,U_106,1416430,1416626,27.82
U_87,U_107,1416430,1416787,27.82
U_87,U_108,1416430,1416566,27.82
U_87,U_109,1416430,1416494,27.82
U_87,U_26,1416430,1416774,38.45
U_87,U_114,1416430,1416509,59.31
U_87,U_116,1416430,1416454,49.51
U_87,U_2,1416430,1416654,34.19
U_87,U_3,1416430,1416602,31.16
U_87,U_5,1416430,1416710,64.83
U_87,U_6,1416430,1416440,40.59
U_87,U_7,1416430,1416738,41.05
U_87,U_8,1416430,1416564,61.35
U_87,U_9,1416430,1416505,61.76
U_87,U_10,1416430,1416433,25.28
U_87,U_11,1416430,1416539,52.0
U_87,U_12,1416430,1416796,19.91
U_87,U_43,1416430,1416598,42.03
U_87,U_90,1416430,1416776,64.83
U_87,U_91,1416430,1416544,27.82
U_87,U_92,1416430,1416527,65.2
U_87,U_93,1416430,1416545,65.2
U_87,U_94,1416430,1416453,61.76
U_87,U_95,1416430,1416461,39.25
U_87,U_41,1416430,1416442,34.8
U_87,U_44,1416430,1416458,46.54
U_87,U_45,1416430,1416517,22.06
U_87,U_46,1416430,1416575,27.82
U_87,U_47,1416430,1416676,27.82
U_87,U_48,1416430,1416474,24.8
U_87,U_50,1416430,1416438,26.84
U_87,U_51,1416430,1416697,64.46
U_87,U_52,1416430,1416446,65.2
U_87,U_53,1416430,1416484,49.14
U_87,U_54,1416430,1416559,27.82
U_87,U_55,1416430,1416557,28.21
U_87,U_56,1416430,1416513,28.55
U_87,U_58,1416430,1416699,27.82
U_87,U_60,1416430,1416553,27.82
U_87,U_61,1416430,1416437,37.2
U_87,U_63,1416430,1416432,23.71
U_87,U_64,1416430,1416744,51.59
U_87,U_66,1416430,1416767,35.72
U_87,U_68,1416430,1416570,82.68
U_87,U_69,1416430,1416574,49.83
U_87,U_70,1416430,1416469,89.58
U_87,U_110,1416430,1416459,43.55
U_87,U_111,1416430,1416684,28.01
U_87,U_112,1416430,1416522,27.82
U_87,U_88,1416430,1416683,46.87
U_87,U_89,1416430,1416556,27.82
U_87,U_71,1416430,1416795,27.82
U_87,U_13,1416430,1416629,34.1
U_87,U_14,1416430,1416491,27.39
U_87,U_15,1416430,1416497,36.2
U_87,U_16,1416430,1416546,27.82
U_87,U_17,1416430,1416478,23.78
U_87,U_18,1416430,1416722,32.19
U_87,U_20,1416430,1416600,37.13
U_87,U_21,1416430,1416761,31.82
U_87,U_22,1416430,1416485,38.47
U_87,U_24,1416430,1416709,34.68
U_87,U_25,1416430,1416457,28.55
U_87,U_27,1416430,1416790,51.27
U_87,U_28,1416430,1416633,62.87
U_87,U_29,1416430,1416449,28.02
U_87,U_30,1416430,1416476,65.2
U_87,U_31,1416430,1416436,21.44
U_87,U_33,1416430,1416534,65.2
U_87,U_34,1416430,1416498,66.8
U_87,U_36,1416430,1416741,52.0
U_87,U_40,1416430,1416571,44.84
U_87,U_72,1416430,1416773,27.82
U_87,U_73,1416430,1416475,66.78
U_87,U_74,1416430,1416649,27.82
U_87,U_75,1416430,1416531,27.82
U_87,U_76,1416430,1416644,27.82
U_87,U_77,1416430,1416687,27.82
U_87,U_78,1416430,1416789,32.19
U_87,U_79,1416430,1416675,61.76
U_87,U_80,1416430,1416702,27.82
U_87,U_81,1416430,1416445,45.89
U_87,U_82,1416430,1416764,46.54
U_87,U_83,1416430,1416524,27.82
U_87,U_84,1416430,1416565,27.82
U_87,U_85,1416430,1416780,27.82
U_96,U_107,1416758,1416787,40.03
U_96,U_26,1416758,1416774,25.76
U_96,U_12,1416758,1416796,20.54
U_96,U_90,1416758,1416776,94.62
U_96,U_66,1416758,1416767,42.98
U_96,U_71,1416758,1416795,40.03
U_96,U_21,1416758,1416761,46.96
U_96,U_27,1416758,1416790,81.26
U_96,U_72,1416758,1416773,40.03
U_96,U_78,1416758,1416789,40.58
U_96,U_82,1416758,1416764,63.92
U_96,U_85,1416758,1416780,40.03
U_97,U_96,1416757,1416758,100.0
U_97,U_107,1416757,1416787,40.03
U_97,U_26,1416757,1416774,25.76
U_97,U_12,1416757,1416796,20.54
U_97,U_90,1416757,1416776,94.62
U_97,U_66,1416757,1416767,42.98
U_97,U_71,1416757,1416795,40.03
U_97,U_21,1416757,1416761,46.96
U_97,U_27,1416757,1416790,81.26
U_97,U_72,1416757,1416773,40.03
U_97,U_78,1416757,1416789,40.58
U_97,U_82,1416757,1416764,63.92
U_97,U_85,1416757,1416780,40.03
U_98,U_96,1416671,1416758,95.14
U_98,U_97,1416671,1416757,95.14
U_98,U_99,1416671,1416755,95.14
U_98,U_101,1416671,1416724,95.14
U_98,U_104,1416671,1416696,93.52
U_98,U_107,1416671,1416787,42.24
